,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,User Id,User Location,Retweets,Favorites,Replied Tweet Id,Replied Tweet User Id Str,User Follower Counts,User Following Counts,Tweet Coordinates,Place Info,Hashtags,Keyword,Hashtag List,Clean_text,Score,Sentiment Class
40010,If @pizzahut starts offering vegan cheese I'll fucking become a Pizza Hut brand ambassador,2020-11-17 03:34:36,1.3285420255751823e+18,nickhexum311,139781011.0,,0.0,4.0,,,729.0,2322.0,,,[],pizzahut,,ifstarts offering vegan cheese i will fucking become a pizza hut brand ambassador,0.6671348810195923,Positive
40011,"This is the #BigDipper from #PizzaHut, #Yummy!

#PepperoniPizza
#BigDipperPizza
#BigDipperBox
#Munchies 
#Pizzeria
#Dipper
#Pizza https://t.co/XOrg9THG6Q",2020-11-17 03:33:24,1.3285417247050998e+18,662STER,600860301.0,"Los Angeles, California",0.0,0.0,,,17306.0,1000.0,,,"['BigDipper', 'PizzaHut', 'Yummy', 'PepperoniPizza', 'BigDipperPizza', 'BigDipperBox', 'Munchies', 'Pizzeria', 'Dipper', 'Pizza']",pizzahut,"['BigDipper', 'PizzaHut', 'Yummy', 'PepperoniPizza', 'BigDipperPizza', 'BigDipperBox', 'Munchies', 'Pizzeria', 'Dipper', 'Pizza']",this is the bigdipper from pizzahut yummypepperonipizza bigdipperpizza bigdipperbox munchiespizzeria dipper pizza,0.9040139317512512,Positive
40012,"If I want plants on my pizza, I'll order veggie toppings. https://t.co/Z9BDZMKRTW",2020-11-17 03:32:46,1.3285415645834732e+18,WayneVoto,619473.0,"Flint, MI - Pflugerville, TX",0.0,0.0,,,270.0,245.0,,,[],pizzahut,,if i want plants on my pizza i will order veggie toppings,0.8701401352882385,Positive
40013,"@pizzahut @BeyondMeat Notice, not one bite taken...",2020-11-17 03:31:50,1.3285413268376453e+18,CXiminez,1.0189368312812298e+18,"Sanctuary City, USA",0.0,0.0,1.3269068806025503e+18,11018442.0,50.0,418.0,,,[],pizzahut,,notice not one bite taken,0.5726895928382874,Positive
40014,@HoodieKlayyy11 @BlazePizza @kayykardashhh @Chrisgronkowski @WorldWideWob @_mandyshaw @pizzahut this man talkin to a pizza account. anyways @BlazePizza can you tell Lebron i will devote my soul to him,2020-11-17 03:27:20,1.3285401944048763e+18,traphousedaniel,1.2095140741211955e+18,my dads ballsack ,0.0,0.0,1.3285007045084774e+18,1.1640418809479414e+18,169.0,483.0,,,[],pizzahut,,this man talkin to a pizza account anywayscan you tell lebron i will devote my soul to him,0.9127464294433594,Positive
40015,@N8Mozaik @pizzahut @TrueKofi @WWEBigE @AustinCreedWins I’m just waiting for ten-twenty years to pass until we see folks who are kids now pining for the glory days of the Cheez-it pizza.,2020-11-17 03:26:47,1.32854005626556e+18,sclnga,2453822048.0,"Fort Worth, TX",0.0,1.0,1.3285375042833162e+18,74092615.0,289.0,249.0,,,[],pizzahut,,i am just waiting for ten-twenty years to pass until we see folks who are kids now pining for the glory days of the cheez-it pizza,0.7841877937316895,Positive
40016,"This #PizzaHut's Box looks so #Retro!

#PepperoniPizza
#Munchies 
#Pizzeria
#Pizza https://t.co/R01F9gG6ZO",2020-11-17 03:26:08,1.328539893266477e+18,662STER,600860301.0,"Los Angeles, California",0.0,0.0,,,17306.0,1000.0,,,"['PizzaHut', 'Retro', 'PepperoniPizza', 'Munchies', 'Pizzeria', 'Pizza']",pizzahut,"['PizzaHut', 'Retro', 'PepperoniPizza', 'Munchies', 'Pizzeria', 'Pizza']",this pizzahuts box looks so retropepperonipizza munchiespizzeria pizza,0.4693112671375274,Negative
40017,@pizzahut You're welcome I dmed the pic proof of the cost and what I was charged 😊,2020-11-17 03:25:49,1.328539816431063e+18,fannationdaily,321568791.0,Chasing Sunsets ,0.0,0.0,1.3285393198086636e+18,11018442.0,24301.0,23750.0,,,[],pizzahut,,you are welcome i dmed the pic proof of the cost and what i was charged smiling face with smiling eyes,0.7541707158088684,Positive
40018,@BrentKemnitz @WichitaState @CityofWichita @pizzahut @wichitalifeict @ShockerAlumni This should be a national landmark. I love Pizza Hut. My favorite type of pizza is stuffed crust. 🍕🍕🍕😄,2020-11-17 03:24:21,1.328539446296404e+18,JessieSmithNow,1.295556165061968e+18,アービュートス,0.0,1.0,1.3284714417051976e+18,1532080813.0,9.0,42.0,,,[],pizzahut,,this should be a national landmark i love pizza hut my favorite type of pizza is stuffed crust pizza pizza pizza grinning face with smiling eyes,0.98573899269104,Positive
40019,@fannationdaily Thanks for sharing this information with us. We've reported this information and your experience to our internal team for review. Someone should reach out to you within the next few business days.,2020-11-17 03:23:51,1.3285393198086636e+18,pizzahut,11018442.0,United States,0.0,0.0,1.3285350230966518e+18,321568791.0,1619383.0,82890.0,,,[],pizzahut,,thanks for sharing this information with us we have reported this information and your experience to our internal team for review someone should reach out to you within the next few business days,0.964365005493164,Positive
40020,@Slickhawk12 @pizzahut @pizzahutdeliver It’s cuz u got that weak ass reg crust...go deep dish like a man,2020-11-17 03:23:48,1.3285393059297075e+18,SeahawksVOL,2164803169.0,,0.0,0.0,1.3284169130645422e+18,112785481.0,951.0,706.0,,,[],pizzahut,,it is cuz you got that weak ass reg crustgo deep dish like a man,0.8213239312171936,Positive
40021,"#Tuesday Special HOT Offers !!! 🙌
#Pasta Lover !!!!😋
 
#PASTA COMBO !!!
Regular Pasta + 375ML Can for $12.95 PICK UP OR DELIVERY

Pizza near You at Orange

CONTACTLESS Delivery and Pick Up now available.

Order Online NOW !

☎️ (02) 63 60 09 06
➡️ https://t.co/m6SPD7kK2j https://t.co/AW83SGbsyJ",2020-11-17 03:17:06,1.328537621757264e+18,orangepizzahut,1.2111285055990047e+18,"Orange, New South Wales",0.0,0.0,,,14.0,48.0,,,"['Tuesday', 'Pasta', 'PASTA']",pizzahut,"['Tuesday', 'Pasta', 'PASTA']",tuesday special hot offers raising hands pasta lover face savoring food pasta comboregular pasta + ml can for $ pick up or deliverypizza near you at orangecontactless delivery and pick up now availableorder online now telephone selector right arrow selector,0.9818931221961976,Positive
40022,"Listening to the #NewDayPod's conversation about discontinued foods...

I know my real ones remember @PizzaHut's #Priazzo...That (&amp; their lunch buffet) was the truth in the early 90's!

#GoodEats🍕🔥
#AlwaysForward✊🏾💯

@TrueKofi 
@WWEBigE
@AustinCreedWins
https://t.co/3OFP8xFFm7",2020-11-17 03:16:38,1.3285375042833162e+18,N8Mozaik,74092615.0,"Newport News, VA",0.0,0.0,,,2940.0,571.0,,,"['NewDayPod', 'Priazzo', 'GoodEats', 'AlwaysForward']",pizzahut,"['NewDayPod', 'Priazzo', 'GoodEats', 'AlwaysForward']",listening to the newdaypods conversation about discontinued foodsi know my real ones remember s priazzothat &amp their lunch buffet was the truth in the early sgoodeats pizza fire alwaysforward raised fist medium-dark skin tone hundred points,0.9235154390335084,Positive
40023,@pizzahut Disgusting,2020-11-17 03:16:18,1.3285374206194115e+18,alan_dershowitz,1.0269807342574552e+18,"Apache Junction, AZ",0.0,0.0,1.3269068806025503e+18,11018442.0,92.0,1548.0,,,[],pizzahut,,disgust,0.648997962474823,Positive
40024,@pizzahut are you using vegan cheese on the new @BeyondMeat pizza and are the staff making it in an area separate from where the original pizzas are being made to prevent cross contamination? @KevinHart4real https://t.co/DZYD68RSI6,2020-11-17 03:14:02,1.3285368497621606e+18,DBIMGMTGROUPLLC,372101891.0,"Rochester, New York",0.0,0.0,,11018442.0,994.0,2731.0,,,[],pizzahut,,are you using vegan cheese on the newpizza and are the staff making it in an area separate from where the original pizzas are being made to prevent cross contamination,0.4558540284633637,Negative
40025,@Gram_Cracker @pizzahut lol because @pizzahut is the truth 😎,2020-11-17 03:13:42,1.3285367657416827e+18,GamingWithSkie,164018119.0,Cali,0.0,0.0,1.3285352441489408e+18,27620530.0,13832.0,476.0,,,[],pizzahut,,lol becauseis the truth smiling face with sunglasses,0.8997699618339539,Positive
40026,"@pizzahut @BeyondMeat You know, @pizzahut... With all the claims of poll rigging in the news, this is a BOLD move.",2020-11-17 03:13:13,1.3285366451722813e+18,asktoybox,2329146715.0,Fuck if I know.,0.0,0.0,1.3269068806025503e+18,11018442.0,23.0,70.0,,,[],pizzahut,,you knowwith all the claims of poll rigging in the news this is a bold move,0.8464717268943787,Positive
40027,@pizzahut @BeyondMeat Excell marketing for idiots I would say to beyond meat be a little careful indocin product together with stuff that is non dairy Derek still increase the production of animals greenhouse gases and cruelty to animal don't forget the chemical and the hormones antibiotic resistance,2020-11-17 03:08:35,1.3285354760647066e+18,oren_clyde,8.45834841723736e+17,original Tesla  the beginn💫👽,0.0,0.0,1.3269068806025503e+18,11018442.0,114.0,96.0,,,[],pizzahut,,excell marketing for idiots i would say to beyond meat be a little careful indocin product together with stuff that is non dairy derek still increase the production of animals greenhouse gases and cruelty to animal do not forget the chemical and the hormones antibiotic resist,0.19388478994369507,Negative
40028,So it wasn't a bot @pizzahut have a good day https://t.co/dXt1RmXKj0,2020-11-17 03:08:07,1.3285353597944095e+18,ThankyouEpic,1.194752631987753e+18,Loot Lake,0.0,1.0,,,78.0,348.0,,,[],pizzahut,,so it was not a bothave a good day,0.027077943086624142,Negative
40029,RT @tweed_sharon: The PizzaHut manager at the Machesney park Illinois location the state took away his teaching credentials so PizzaHut sai…,2020-11-17 03:07:56,1.3285353131285504e+18,tweed_sharon,1.1791982520690688e+18,,1.0,0.0,,,2.0,5.0,,,[],pizzahut,,rtthe pizzahut manager at the machesney park illinois location the state took away his teaching credentials so pizzahut sai…,0.4756024777889252,Negative
40030,@GamingWithSkie @pizzahut How did Pizza Hut respond that fast haha,2020-11-17 03:07:39,1.3285352441489408e+18,Gram_Cracker,27620530.0,,0.0,1.0,1.3285348001775862e+18,164018119.0,283.0,1909.0,,,[],pizzahut,,how did pizza hut respond that fast haha,0.34654396772384644,Negative
40031,@pizzahut what does this mean?? https://t.co/85qrDjrxVo,2020-11-17 03:07:31,1.3285352084010025e+18,KurloznBlacktor,27884958.0,ohio,0.0,0.0,,11018442.0,72.0,131.0,,,[],pizzahut,,what does this mean,0.4562790095806122,Negative
40032,@pizzahut I believe their closed and they wouldn't answer the phone. In my city many are ordering cuz we have a curfew I could dm u the order number if you'd like I'm just wondering why I was charged extra 🤔,2020-11-17 03:06:47,1.3285350230966518e+18,fannationdaily,321568791.0,Chasing Sunsets ,0.0,0.0,1.3285294742587515e+18,11018442.0,24301.0,23750.0,,,[],pizzahut,,i believe their closed and they would not answer the phone in my city many are ordering cuz we have a curfew i could dm you the order number if you would like i am just wondering why i was charged extra thinking face,0.21922874450683594,Negative
40033,@GamingWithSkie It really is. 😏,2020-11-17 03:06:46,1.328535019577512e+18,pizzahut,11018442.0,United States,0.0,2.0,1.3285348001775862e+18,164018119.0,1619383.0,82890.0,,,[],pizzahut,,it really is smirking face,0.7473107576370239,Positive
40034,I'm having a nice convo with @pizzahut  hut and he just said nope https://t.co/AHd99PJPru,2020-11-17 03:06:40,1.3285349944075346e+18,ThankyouEpic,1.194752631987753e+18,Loot Lake,0.0,2.0,,,78.0,348.0,,,[],pizzahut,,i am having a nice convo with hut and he just said nope,0.8914150595664978,Positive
40035,@pizzahut @BeyondMeat What's the purpose for the beyond meat what do regular Dairy cheese and defeat the purpose the idea is to reduce greenhouse gases animal cruelty sustainable living,2020-11-17 03:06:33,1.3285349666832302e+18,oren_clyde,8.45834841723736e+17,original Tesla  the beginn💫👽,0.0,0.0,1.3269068806025503e+18,11018442.0,114.0,96.0,,,[],pizzahut,,what is the purpose for the beyond meat what do regular dairy cheese and defeat the purpose the idea is to reduce greenhouse gases animal cruelty sustainable liv,0.8111860752105713,Positive
40036,"One of my weird hobbies is waxing philosophic in marketing surveys in the hope that whoever has the unfortunate task of reading it gets a chuckle.
#Pizzahut https://t.co/zw3oMfSnMP",2020-11-17 03:06:15,1.3285348921420636e+18,Frostingthebir1,1.1777567226032005e+18,Miami FL,0.0,0.0,,,59.0,431.0,,,['Pizzahut'],pizzahut,['Pizzahut'],one of my weird hobbies is waxing philosophic in marketing surveys in the hope that whoever has the unfortunate task of reading it gets a chuckle pizzahut,0.5589445233345032,Positive
40037,"So just had @pizzahut beyond sausage it was fire, has anyone else had it yet? if so did you like it?",2020-11-17 03:05:54,1.3285348001775862e+18,GamingWithSkie,164018119.0,Cali,0.0,0.0,,,13832.0,476.0,,,[],pizzahut,,so just hadbeyond sausage it was fire has anyone else had it yet if so did you like it,0.5038392543792725,Positive
40038,@pizzahut @BeyondMeat None of the above! 🤧,2020-11-17 03:05:36,1.3285347280021955e+18,yyyyangrrria,378118265.0,Blue globe ,0.0,0.0,1.3269068806025503e+18,11018442.0,12.0,6.0,,,[],pizzahut,,none of the above sneezing face,0.1358342468738556,Negative
40039,@pizzahut @BeyondMeat Not going to lie.. if you don't eat pork this is it... I ordered it with extra beef and cheese... 🔥🔥🔥,2020-11-17 03:02:55,1.3285340499719004e+18,Cheftonyflakes,8.044404053874115e+17,"Key West, FL",0.0,0.0,1.3269068806025503e+18,11018442.0,43.0,470.0,,,[],pizzahut,,not going to lie if you do not eat pork this is it i ordered it with extra beef and cheese fire fire fire,0.8848900794982909,Positive
40040,@WLightning777 Thanks for bringing this to our attention. Mind sending us a DM with more details about this? We'd like to help.,2020-11-17 03:02:06,1.3285338453191885e+18,pizzahut,11018442.0,United States,0.0,0.0,1.328533456440144e+18,544018435.0,1619383.0,82890.0,,,[],pizzahut,,thanks for bringing this to our attention mind sending us a dm with more details about this we would like to help,0.9896313548088074,Positive
40041,"@pizzahut Okay, look,I didn't want to have to be the type to complain,but 2 nights in a row now, my local location hasn't been able to deliver. Last night the website straight up said ""Can't deliver"" but tonight they had to call me after I placed my order. This is unacceptable...",2020-11-17 03:00:33,1.328533456440144e+18,WLightning777,544018435.0,,0.0,0.0,,11018442.0,123.0,152.0,,,[],pizzahut,,okay looki did not want to have to be the type to complainbutnights in a row now my local location has not been able to deliver last night the website straight up said can not deliver but tonight they had to call me after i placed my order this is unacceptable,0.034424245357513435,Negative
40042,@Slickhawk12 @pizzahut @pizzahutdeliver I will be listening intently to the best show on KJR tomorrow. I wanna hear more about this!,2020-11-17 02:58:06,1.3285328396718408e+18,pnw_kid,1.3096467723696783e+18,,0.0,0.0,1.3284169130645422e+18,112785481.0,3.0,40.0,,,[],pizzahut,,i will be listening intently to the best show on kjr tomorrow i want to hear more about this,0.8237277269363403,Positive
40043,Just talked to gamers what the fuck is wrong with these cunts lmao,2020-11-17 02:57:23,1.3285326585618473e+18,DrLing_Pizzahut,1945611373.0,,0.0,0.0,,,24.0,246.0,,,[],pizzahut,,just talked to gamers what the fuck is wrong with these cunts lmao,0.07796186208724976,Negative
40044,@treidius @pizzahut @spaceb1izzard You must be the most reasonable human on Twitter.,2020-11-17 02:54:36,1.3285319566158193e+18,terrier817,18733067.0,,0.0,2.0,1.3285037014394552e+18,496261830.0,81.0,79.0,,,[],pizzahut,,you must be the most reasonable human on twitter,0.9230235815048218,Positive
40045,RT @pizzahut: When you try the NEW Beyond Italian Sausage Pizza and you realize plant-based sausage DOES taste this good. Get it before it’…,2020-11-17 02:53:23,1.3285316504441364e+18,jen4988,139284658.0,"Hutchinson,ks",13.0,0.0,,,3098.0,4585.0,,,[],pizzahut,,rtwhen you try the new beyond italian sausage pizza and you realize plant-based sausage does taste this good get it before it…,0.9463696479797364,Positive
40046,"@pizzahut @KevinHart4real The food don’t hit the same, used to be a very good pizza spot now it’s just falling apart lol idk what happened to yal!",2020-11-17 02:51:27,1.328531163812565e+18,KxmoFlage,92807917.0,,0.0,0.0,1.3243934998574776e+18,11018442.0,413.0,140.0,,,[],pizzahut,,the food do not hit the same used to be a very good pizza spot now it is just falling apart lol idk what happened to yal,0.4543395042419434,Negative
40047,"@pizzahut @BeyondMeat this is really cool! i just tried it tonight with no cheese, its so good i really hope you'll add a vegan cheese option to the menu soon. https://t.co/mtcdGpgEGm",2020-11-17 02:50:31,1.3285309329707704e+18,miyameob,1.0219789697411768e+18,she/her,0.0,0.0,1.3265553592013414e+18,11018442.0,161.0,211.0,,,[],pizzahut,,this is really cool i just tried it tonight with no cheese its so good i really hope you will add a vegan cheese option to the menu soon,0.6158838272094727,Positive
40048,Need parts? When will this be available in #tampa https://t.co/CxsxMQyS3U,2020-11-17 02:49:57,1.328530788246315e+18,DigitalCrates,167117524.0,USA,0.0,0.0,,,2376.0,42.0,,,['tampa'],pizzahut,['tampa'],need parts when will this be available in tampa,0.13131296634674072,Negative
40049,"@IAmReviewbrah @pizzahut @pizzahutuk @PizzaHutIN @pizzahutdeliver @pizzahutphils @PizzaHutME @BeyondMeat @YouTube @YouTubeCreators great review john! the part where you rubbed the absurd amount of pizza grease on your body was really shocking, but other than that it was so insightful!",2020-11-17 02:48:59,1.3285305437142016e+18,neopetpain,1.0924956956454134e+18,Wayfair Distribution Center,0.0,0.0,1.3284815649263575e+18,8.517149024987177e+17,289.0,205.0,,,[],pizzahut,,great review john the part where you rubbed the absurd amount of pizza grease on your body was really shocking but other than that it was so insightful,0.7858883738517761,Positive
40050,@Slickhawk12 @pizzahut @pizzahutdeliver The Hut did you wrong! Does Katie Downs deliver?,2020-11-17 02:48:40,1.328530466329092e+18,DancnHawk,29770506.0,Pacific Northwest,0.0,0.0,1.3284169130645422e+18,112785481.0,114.0,274.0,,,[],pizzahut,,the hut did you wrong does katie downs deliver,0.5478004813194275,Positive
40051,@fannationdaily Thanks for reaching out. Have you contacted the store about this?,2020-11-17 02:44:44,1.3285294742587515e+18,pizzahut,11018442.0,United States,0.0,0.0,1.3285293003966505e+18,321568791.0,1619383.0,82890.0,,,[],pizzahut,,thanks for reaching out have you contacted the store about this,0.988627314567566,Positive
40052,@pizzahut @KevinHart4real A real Philadelphian would never.,2020-11-17 02:44:40,1.3285294584547983e+18,HHReynolds,14763806.0,"New Jersey, NY, Philly",0.0,0.0,1.3243934998574776e+18,11018442.0,4607.0,5033.0,,,[],pizzahut,,a real philadelphian would never,0.7030889987945557,Positive
40053,@pizzahut I ordered pizza tonight with what was left on my card and was charged 35$ and some change when it should've been only 29$ and some change how do I fix this? Why was I charged extra?,2020-11-17 02:44:02,1.3285293003966505e+18,fannationdaily,321568791.0,Chasing Sunsets ,0.0,0.0,,11018442.0,24301.0,23750.0,,,[],pizzahut,,i ordered pizza tonight with what was left on my card and was charged $ and some change when it should have been only $ and some change how do i fix this why was i charged extra,0.12927603721618652,Negative
40054,"I out-pizza’d @pizzahut.

 !⃝ 𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱",2020-11-17 02:41:36,1.328528686069506e+18,axlewar268,1.2017067390469816e+18,Your Moms House,0.0,0.0,,,221.0,848.0,,,[],pizzahut,,i out-pizzad⃝ 𝗧𝗵𝗶𝘀 𝗰𝗹𝗮𝗶𝗺 𝗶𝘀 𝗱𝗶𝘀𝗽𝘂𝘁𝗲𝗱,0.42130205035209656,Negative
40055,@mattchewlala @Slickhawk12 @pizzahut @pizzahutdeliver Agree,2020-11-17 02:41:29,1.32852865805559e+18,HawksNest24,39511030.0,,0.0,1.0,1.3284175379444777e+18,808628492.0,36.0,144.0,,,[],pizzahut,,agre,0.648997962474823,Positive
40056,"@US_Patriot_TX Thanks for reaching out. While we are closing some locations, we look forward to serving you at one of our other 6,700 restaurants.",2020-11-17 02:41:14,1.3285285928929362e+18,pizzahut,11018442.0,United States,0.0,0.0,1.3285278331829535e+18,7.10681564347179e+17,1619383.0,82890.0,,,[],pizzahut,,thanks for reaching out while we are closing some locations we look forward to serving you at one of our otherrestaurants,0.9925683736801147,Positive
40057,@pizzahut @KevinHart4real Pizza just doing anything to stay relevant 🤣,2020-11-17 02:39:05,1.3285280552210555e+18,Jamard_styles,142521778.0,"Cleveland, OH",0.0,0.0,1.3243934998574776e+18,11018442.0,1510.0,1244.0,,,[],pizzahut,,pizza just doing anything to stay relevant rolling on the floor laughing,0.6775236129760742,Positive
40058,@pizzahut THE best ! https://t.co/rGlRK2G1vq,2020-11-17 02:36:31,1.3285274084719288e+18,wadeo29,2468202134.0,Dunnville Ontario Canada ,0.0,0.0,1.3285197173177958e+18,11018442.0,552.0,418.0,,,[],pizzahut,,the best,0.697151243686676,Positive
40059,"@Kentroyals5 @Slickhawk12 @pizzahut @pizzahutdeliver Car does flip over a river, pizza goes smoosh.",2020-11-17 02:35:06,1.3285270499302687e+18,dr_fop,4227624634.0,"Baltimore, MD",0.0,0.0,1.3284187315428065e+18,2228672077.0,6.0,90.0,,,[],pizzahut,,car does flip over a river pizza goes smoosh,0.6148516535758972,Positive
40060,@FishingPACNW @Slickhawk12 @pizzahut @pizzahutdeliver They did.,2020-11-17 02:34:39,1.3285269367762575e+18,dr_fop,4227624634.0,"Baltimore, MD",0.0,0.0,1.3284620422991544e+18,4764581377.0,6.0,90.0,,,[],pizzahut,,they did,0.6395316123962402,Positive
40061,@pizzahut @BeyondMeat Disgusting,2020-11-17 02:22:57,1.3285239940316488e+18,irodeyourmom,110284499.0,,0.0,0.0,1.3269068806025503e+18,11018442.0,58.0,101.0,,,[],pizzahut,,disgust,0.648997962474823,Positive
40062,@pizzahut It’s good af. I’ll be getting this again,2020-11-17 02:22:53,1.3285239752871608e+18,HillyBlaze,7.674037374888305e+17,🌎🌍🌏,0.0,0.0,1.3243934998574776e+18,11018442.0,975.0,1857.0,,,[],pizzahut,,it is good af i will be getting this again,0.9213265180587769,Positive
40063,@pizzahut make muscle man the new spokesperson,2020-11-17 02:21:32,1.3285236376456888e+18,Redthepoopy,1.1673375367226204e+18,,0.0,0.0,,11018442.0,10.0,31.0,,,[],pizzahut,,make muscle man the new spokesperson,0.9033955335617064,Positive
40064,@pizzahut why is pzone off the menu?,2020-11-17 02:19:51,1.3285232113659658e+18,Brian25x,26444734.0,"Corona, Ca USA",0.0,0.0,,11018442.0,183.0,1921.0,,,[],pizzahut,,why is pzone off the menu,0.041967689990997314,Negative
40065,@supremegeek24_7 @pizzahut @KevinHart4real @daiyafoods Agreed,2020-11-17 02:08:13,1.3285202867576545e+18,GarlandTXVegan,8.591441432089846e+17,"Rowlett, TX",0.0,0.0,1.3270636184170086e+18,2725160905.0,46.0,168.0,,,[],pizzahut,,agre,0.648997962474823,Positive
40066,RT @IAmReviewbrah: I got a lot of requests to try this item out so here we go! @pizzahut has just released their new Beyond Italian Sausage…,2020-11-17 02:05:47,1.3285196739614392e+18,anthony_kreuz,9.672325781545738e+17,,9.0,0.0,,,46.0,262.0,,,[],pizzahut,,rti got a lot of requests to try this item out so here we gohas just released their new beyond italian sausage…,0.9450730085372924,Positive
40067,"@Slickhawk12 @pizzahut @pizzahutdeliver Next time order @zeekspizza   More expensive, but better quality.",2020-11-17 02:05:46,1.3285196687394447e+18,sschwandt,89949251.0,,0.0,0.0,1.3284169130645422e+18,112785481.0,139.0,690.0,,,[],pizzahut,,next time ordermore expensive but better quality,0.6677573919296265,Positive
40068,ordering @pizzahut after 9pm ... 😎👍 https://t.co/TIRX2v4UhH,2020-11-17 02:05:13,1.3285195315900047e+18,wadeo29,2468202134.0,Dunnville Ontario Canada ,0.0,1.0,,,552.0,418.0,,,[],pizzahut,,orderingafter pm smiling face with sunglasses thumbs up,0.9892946481704712,Positive
